month,ave_time,ave_trip,location,year,perc_trip,perc_time,perc_trip_length,perc_time_length,angle,path,x,y
1,130833909.66666667,160855.33333333334,DC,ave,0.4334072195318226,0.3004847732794726,0.5750554146488669,0.47536357995960443,1.1780972450961724,0,0.09567085809127246,0.23096988312782168
2,162672802.33333334,183459,DC,ave,0.4943103435887856,0.37360880105474487,0.6207327576915892,0.5302066007910586,0.7853981633974483,0,0.1767766952966369,0.17677669529663687
3,241487569,237022,DC,ave,0.6386300277342684,0.5546217919012734,0.7289725208007013,0.665966343925955,0.39269908169872414,0,0.23096988312782168,0.09567085809127245
4,392023487.3333333,330673.6666666667,DC,ave,0.8909642687781116,0.9003559475651496,0.9182232015835837,0.9252669606738622,0,0,0.25,0
5,371285390.6666667,334995.6666666667,DC,ave,0.9026094282142294,0.8527269934888905,0.926957071160672,0.8895452451166679,-0.39269908169872414,0,0.23096988312782168,-0.09567085809127245
6,407224473.6666667,362755,DC,ave,0.9774039359668913,0.93526788242694,0.9830529519751685,0.951450911820205,-0.7853981633974483,0,0.1767766952966369,-0.17677669529663687
7,435409449.3333333,366181.3333333333,DC,ave,0.9866358188794206,1,0.9899768641595654,1,-1.178097245096172,0,0.09567085809127256,-0.23096988312782163
8,404148352,371141.3333333333,DC,ave,1,0.9282029882879254,1,0.946152241215944,-1.5707963267948966,0,1.5308084989341915e-17,-0.25
9,356249382,344925.6666666667,DC,ave,0.9293647343689377,0.8181939609842245,0.9470235507767033,0.8636454707381683,-1.9634954084936207,0,-0.09567085809127243,-0.23096988312782168
10,339026613,343499,DC,ave,0.9255207360358678,0.778638620542325,0.9441405520269008,0.8339789654067438,-2.356194490192345,0,-0.17677669529663687,-0.1767766952966369
11,194315281.33333334,226084.66666666666,DC,ave,0.6091605713546682,0.4462817277641873,0.7068704285160011,0.5847112958231404,-2.7488935718910685,0,-0.23096988312782163,-0.09567085809127257
12,130288874,162074.33333333334,DC,ave,0.4366916825935134,0.2992329959753714,0.577518761945135,0.47442474698152853,-3.141592653589793,0,-0.25,-3.061616997868383e-17
1,148811473,192566,DC,2020,0.5188481656583656,0.3417736414031645,0.6391361242437742,0.5063302310523734,1.1780972450961724,0,0.2158855483467463,0.5211938187390673
2,136700384,173494,DC,2020,0.4674607337366538,0.31395823909955445,0.6005955503024903,0.48546867932466586,0.7853981633974483,0,0.37165217778036613,0.3716521777803661
3,151567901,151401,DC,2020,0.4079335455316214,0.34810429868269865,0.555950159148716,0.511078224012024,0.39269908169872414,0,0.4443400081955447,0.18405165769956683
4,1856462,61527,DC,2020,0.16577781689634857,0.004263715458730804,0.3743333626722614,0.2531977865940481,0,0,0.2993333626722614,0
5,3743872,119004,DC,2020,0.32064334880512724,0.008598508842039004,0.49048251160384543,0.25644888163152924,-0.39269908169872414,0,0.38385578858717595,-0.1589982736282278
6,5487325,179557,DC,2020,0.48379682852174916,0.012602677797649512,0.6128476213913119,0.2594520083482371,-0.7853981633974483,0,0.3803157003308515,-0.38031570033085144
1,130833909.66666667,160855.33333333334,DC,ave,0.4334072195318226,0.3004847732794726,0.5750554146488669,0.47536357995960443,1.1780972450961724,1,0.22006417987795834,0.5312819276538793
2,162672802.33333334,183459,DC,ave,0.4943103435887856,0.37360880105474487,0.6207327576915892,0.5302066007910586,0.7853981633974483,1,0.4389243422683488,0.43892434226834875
3,241487569,237022,DC,ave,0.6386300277342684,0.5546217919012734,0.7289725208007013,0.665966343925955,0.39269908169872414,1,0.6734827917309262,0.2789657063598442
4,392023487.3333333,330673.6666666667,DC,ave,0.8909642687781116,0.9003559475651496,0.9182232015835837,0.9252669606738622,0,1,0.9182232015835837,0
5,371285390.6666667,334995.6666666667,DC,ave,0.9026094282142294,0.8527269934888905,0.926957071160672,0.8895452451166679,-0.39269908169872414,1,0.8563966655619533,-0.3547311136468568
6,407224473.6666667,362755,DC,ave,0.9774039359668913,0.93526788242694,0.9830529519751685,0.951450911820205,-0.7853981633974483,1,0.6951234086070951,-0.695123408607095
7,435409449.3333333,366181.3333333333,DC,ave,0.9866358188794206,1,0.9899768641595654,1,-1.178097245096172,1,0.3788477443386112,-0.9146193624567287
8,404148352,371141.3333333333,DC,ave,1,0.9282029882879254,1,0.946152241215944,-1.5707963267948966,1,6.123233995736766e-17,-1
9,356249382,344925.6666666667,DC,ave,0.9293647343689377,0.8181939609842245,0.9470235507767033,0.8636454707381683,-1.9634954084936207,1,-0.36241022294180364,-0.8749356753687595
10,339026613,343499,DC,ave,0.9255207360358678,0.778638620542325,0.9441405520269008,0.8339789654067438,-2.356194490192345,1,-0.6676081867314319,-0.667608186731432
11,194315281.33333334,226084.66666666666,DC,ave,0.6091605713546682,0.4462817277641873,0.7068704285160011,0.5847112958231404,-2.7488935718910685,1,-0.6530631210434159,-0.2705076018218855
12,130288874,162074.33333333334,DC,ave,0.4366916825935134,0.2992329959753714,0.577518761945135,0.47442474698152853,-3.141592653589793,1,-0.577518761945135,-7.072565032636518e-17
1,148811473,192566,DC,2020,0.5188481656583656,0.3417736414031645,0.6391361242437742,0.5063302310523734,1.1780972450961724,1,0.24458680577412803,0.5904847836774137
2,136700384,173494,DC,2020,0.4674607337366538,0.31395823909955445,0.6005955503024903,0.48546867932466586,0.7853981633974483,1,0.42468518636935715,0.4246851863693571
3,151567901,151401,DC,2020,0.4079335455316214,0.34810429868269865,0.555950159148716,0.511078224012024,0.39269908169872414,1,0.5136309731338913,0.21275291512694858
4,1856462,61527,DC,2020,0.16577781689634857,0.004263715458730804,0.3743333626722614,0.2531977865940481,0,1,0.3743333626722614,0
5,3743872,119004,DC,2020,0.32064334880512724,0.008598508842039004,0.49048251160384543,0.25644888163152924,-0.39269908169872414,1,0.45314675352552247,-0.18769953105560955
6,5487325,179557,DC,2020,0.48379682852174916,0.012602677797649512,0.6128476213913119,0.2594520083482371,-0.7853981633974483,1,0.4333487089198425,-0.43334870891984245
